event,photon_pT,weight,found,pT_bin
572.0,22.734027384326392,0.01,False,>20
575.0,16.598907747087512,0.01,False,5-20
576.0,38.66223647108468,0.01,False,>20
577.0,19.537387291586608,0.01,False,5-20
578.0,20.12372129948709,0.01,False,>20
579.0,69.25676681319969,0.01,False,>20
580.0,12.376469155861264,0.01,False,5-20
582.0,20.64892719058737,0.01,False,>20
583.0,34.80839497313172,0.01,False,>20
584.0,13.118662777749307,0.01,False,5-20
587.0,22.45641023619113,0.01,False,>20
589.0,9.970805590091354,0.01,False,5-20
590.0,46.56656786040529,0.01,False,>20
591.0,13.11645196803735,0.01,False,5-20
592.0,12.744498154029086,0.01,False,5-20
593.0,9.839277382931275,0.01,False,5-20
596.0,33.698360678594945,0.01,False,>20
597.0,16.360722449988188,0.01,False,5-20
598.0,21.68463061512137,0.01,False,>20
599.0,108.25637288950128,0.01,False,>20
600.0,10.209823202622765,0.01,False,5-20
601.0,59.91655165749072,0.01,False,>20
602.0,47.35139895421765,0.01,False,>20
604.0,60.51835371750272,0.01,False,>20
605.0,73.97512022680885,0.01,False,>20
606.0,122.43382396954436,0.01,False,>20
608.0,14.964187207187532,0.01,False,5-20
609.0,16.817601538092944,0.01,False,5-20
610.0,15.50640203571128,0.01,False,5-20
612.0,16.88452641766633,0.01,False,5-20
613.0,30.469697988777824,0.01,False,>20
614.0,21.650629996818303,0.01,False,>20
615.0,17.784711082841838,0.01,False,5-20
618.0,58.37183467471842,0.01,False,>20
619.0,19.931865721701097,0.01,False,5-20
620.0,15.683406500967552,0.01,False,5-20
623.0,25.199242696904395,0.01,False,>20
625.0,20.11567142732595,0.01,False,>20
626.0,10.990250102777992,0.01,False,5-20
629.0,39.97962437698354,0.01,False,>20
630.0,11.438456630745996,0.01,False,5-20
631.0,49.53447808012445,0.01,False,>20
632.0,30.578118277506046,0.01,False,>20
633.0,15.048675984660129,0.01,False,5-20
634.0,18.47189835620664,0.01,False,5-20
635.0,16.75478016313278,0.01,False,5-20
637.0,8.560338459756352,0.01,False,5-20
639.0,14.355389269497538,0.01,False,5-20
640.0,20.20759490144882,0.01,False,>20
644.0,14.638793854186982,0.01,False,5-20
645.0,23.661785170566432,0.01,False,>20
646.0,35.70241842354741,0.01,False,>20
647.0,36.00200609344791,0.01,False,>20
648.0,18.816812534195243,0.01,False,5-20
651.0,16.106924832995155,0.01,False,5-20
652.0,21.596418618399017,0.01,False,>20
653.0,18.697517234081698,0.01,False,5-20
654.0,27.666920760383245,0.01,False,>20
655.0,29.094993880383218,0.01,False,>20
656.0,10.60133325182824,0.01,False,5-20
657.0,133.44393957783592,0.01,False,>20
658.0,91.83304154253162,0.01,False,>20
659.0,23.91138306098255,0.01,False,>20
660.0,21.467177336748108,0.01,False,>20
661.0,37.50594869276483,0.01,False,>20
663.0,29.527437229643507,0.01,False,>20
664.0,17.11251268557952,0.01,False,5-20
665.0,73.586012918993,0.01,False,>20
666.0,16.30859989698779,0.01,False,5-20
667.0,26.98263847880288,0.01,False,>20
670.0,17.50021544086799,0.01,False,5-20
673.0,18.166041865801112,0.01,False,5-20
674.0,29.63808784546956,0.01,False,>20
675.0,18.95163177142593,0.01,False,5-20
676.0,22.384504132241485,0.01,False,>20
678.0,59.00079198849592,0.01,False,>20
679.0,86.42366761158476,0.01,False,>20
680.0,11.722616039437142,0.01,False,5-20
681.0,12.773632975252728,0.01,False,5-20
682.0,24.499046777502297,0.01,False,>20
685.0,20.72795633547813,0.01,False,>20
687.0,35.1867101801532,0.01,False,>20
688.0,23.10992142966577,0.01,False,>20
689.0,45.77999729285815,0.01,False,>20
690.0,40.79006633018447,0.01,False,>20
692.0,29.680896318700945,0.01,False,>20
693.0,35.63788769238803,0.01,False,>20
694.0,83.20796294957707,0.01,False,>20
696.0,12.034919024160176,0.01,False,5-20
699.0,25.732912413533345,0.01,False,>20
700.0,10.331178251813313,0.01,False,5-20
701.0,18.577181686162746,0.01,False,5-20
703.0,34.60258208079256,0.01,False,>20
704.0,19.53941994272845,0.01,False,5-20
705.0,29.19881689185932,0.01,False,>20
706.0,10.702254601896266,0.01,False,5-20
