event,n_valid_seeds,min_seed_ds,median_seed_ds,max_seed_ds
6581,1,0.17038987674466624,0.17038987674466624,0.17038987674466624
6606,1,0.28672785678994406,0.28672785678994406,0.28672785678994406
6615,1,0.17172525881587813,0.17172525881587813,0.17172525881587813
6625,1,0.3579201581291664,0.3579201581291664,0.3579201581291664
6627,1,0.2390360057679899,0.2390360057679899,0.2390360057679899
6665,1,0.1569338536472541,0.1569338536472541,0.1569338536472541
6687,1,0.34465118626315766,0.34465118626315766,0.34465118626315766
6711,1,0.47597055481772166,0.47597055481772166,0.47597055481772166
6714,1,0.18310992643110516,0.18310992643110516,0.18310992643110516
6718,1,0.2921005998012371,0.2921005998012371,0.2921005998012371
6723,1,0.28077211284084275,0.28077211284084275,0.28077211284084275
6732,1,0.23925534461926812,0.23925534461926812,0.23925534461926812
6772,1,0.20449615328436635,0.20449615328436635,0.20449615328436635
6782,1,0.3196055593797265,0.3196055593797265,0.3196055593797265
6784,1,0.15019618614553465,0.15019618614553465,0.15019618614553465
6791,1,0.27220932715999213,0.27220932715999213,0.27220932715999213
6795,1,0.41912365275052454,0.41912365275052454,0.41912365275052454
6802,1,0.26931361448541263,0.26931361448541263,0.26931361448541263
6811,1,0.44612435755157814,0.44612435755157814,0.44612435755157814
6838,1,0.23256841523545563,0.23256841523545563,0.23256841523545563
6855,1,0.2477446677602936,0.2477446677602936,0.2477446677602936
6865,1,0.2508116424571463,0.2508116424571463,0.2508116424571463
6899,1,0.0026884204080440547,0.0026884204080440547,0.0026884204080440547
6907,1,0.377578912676029,0.377578912676029,0.377578912676029
6928,1,0.3025178247889119,0.3025178247889119,0.3025178247889119
6940,1,0.4751061016427454,0.4751061016427454,0.4751061016427454
6950,1,0.28452950323822074,0.28452950323822074,0.28452950323822074
6967,1,0.4248921475326278,0.4248921475326278,0.4248921475326278
6985,1,0.44688542352224847,0.44688542352224847,0.44688542352224847
6988,1,0.39581322755218273,0.39581322755218273,0.39581322755218273
6996,1,0.39398631451531396,0.39398631451531396,0.39398631451531396
7009,1,0.37321403192910124,0.37321403192910124,0.37321403192910124
7031,1,0.4306526139203747,0.4306526139203747,0.4306526139203747
7039,1,0.23614128039838067,0.23614128039838067,0.23614128039838067
7046,1,0.33425427858003254,0.33425427858003254,0.33425427858003254
7061,1,0.28825255066677147,0.28825255066677147,0.28825255066677147
7074,1,0.3331621494775332,0.3331621494775332,0.3331621494775332
7109,1,0.21363912411340083,0.21363912411340083,0.21363912411340083
7114,1,0.3867272870671324,0.3867272870671324,0.3867272870671324
7138,1,0.4428462560192614,0.4428462560192614,0.4428462560192614
7140,1,0.3164615323477803,0.3164615323477803,0.3164615323477803
7155,1,0.22924223677068228,0.22924223677068228,0.22924223677068228
7157,1,0.2208335559330186,0.2208335559330186,0.2208335559330186
7217,1,0.12863912441326847,0.12863912441326847,0.12863912441326847
7243,1,0.391698505533999,0.391698505533999,0.391698505533999
7258,1,0.3150094836044888,0.3150094836044888,0.3150094836044888
7290,1,0.37703496139875187,0.37703496139875187,0.37703496139875187
7297,1,0.2676773180577389,0.2676773180577389,0.2676773180577389
7304,1,0.2958556698636456,0.2958556698636456,0.2958556698636456
7306,1,0.27943517848217486,0.27943517848217486,0.27943517848217486
7315,1,0.47431688024489194,0.47431688024489194,0.47431688024489194
7327,1,0.3228707082658265,0.3228707082658265,0.3228707082658265
7328,1,0.10533042985639864,0.10533042985639864,0.10533042985639864
7354,1,0.27067162389975863,0.27067162389975863,0.27067162389975863
7369,1,0.1506081783620805,0.1506081783620805,0.1506081783620805
7371,1,0.4152467052988459,0.4152467052988459,0.4152467052988459
7378,1,0.30798853932501574,0.30798853932501574,0.30798853932501574
7384,1,0.2856728261942148,0.2856728261942148,0.2856728261942148
7424,1,0.3891690384006232,0.3891690384006232,0.3891690384006232
7425,1,0.07093168448237648,0.07093168448237648,0.07093168448237648
7470,1,0.3015862258619488,0.3015862258619488,0.3015862258619488
7476,1,0.19087037329466508,0.19087037329466508,0.19087037329466508
7479,1,0.37107475428639297,0.37107475428639297,0.37107475428639297
7480,1,0.36886947576571144,0.36886947576571144,0.36886947576571144
7486,1,0.24402225998678334,0.24402225998678334,0.24402225998678334
7504,1,0.32917858525911564,0.32917858525911564,0.32917858525911564
7519,1,0.19959191284286434,0.19959191284286434,0.19959191284286434
7530,1,0.20294389368569635,0.20294389368569635,0.20294389368569635
7534,1,0.32985368466324483,0.32985368466324483,0.32985368466324483
7540,1,0.18722242232269212,0.18722242232269212,0.18722242232269212
7590,1,0.411790442758848,0.411790442758848,0.411790442758848
7598,1,0.4035866885064489,0.4035866885064489,0.4035866885064489
7622,1,0.182494937510156,0.182494937510156,0.182494937510156
7631,1,0.15340741916935585,0.15340741916935585,0.15340741916935585
7654,1,0.4610618825637832,0.4610618825637832,0.4610618825637832
7655,1,0.4586603441412859,0.4586603441412859,0.4586603441412859
7686,1,0.15986980943414694,0.15986980943414694,0.15986980943414694
7691,1,0.24135799079512163,0.24135799079512163,0.24135799079512163
