event,mu,hard_found,pu_found,transition,hard_ds,pu_ds,hard_dw,pu_dw,hard_hits,combined_hits,pu_events
2885,20,False,False,0->0,,,,,16,3875,"426,239,902,189,522,639,845,636,590,260,62,158,31,879,70,670,310,88,401,228"
6574,0,False,False,0->0,,,,,16,16,
6574,5,False,False,0->0,,,,,16,680,"324,742,238,523,303"
6574,10,False,False,0->0,,,,,16,1373,"251,285,979,826,429,708,873,521,692,319"
6574,20,False,False,0->0,,,,,16,2034,"276,444,96,81,124,784,850,723,792,143,915,560,878,600,250,79,315,753,369,770"
7193,0,False,False,0->0,,,,,16,16,
7193,5,False,False,0->0,,,,,16,1137,"327,550,52,282,829"
7193,10,False,False,0->0,,,,,16,1959,"120,605,802,232,257,424,674,597,183,416"
7193,20,False,False,0->0,,,,,16,4928,"895,822,463,74,907,322,558,42,146,700,375,779,222,835,395,741,776,147,823,583"
6808,0,False,False,0->0,,,,,16,16,
6808,5,False,False,0->0,,,,,16,1323,"844,635,723,313,304"
6808,10,False,False,0->0,,,,,16,2019,"268,686,760,838,314,370,119,863,597,980"
6808,20,False,False,0->0,,,,,16,3080,"933,172,862,804,551,989,569,91,458,261,558,552,635,926,185,61,259,870,619,650"
9658,0,False,False,0->0,,,,,16,16,
9658,5,False,False,0->0,,,,,16,891,"602,851,392,858,7"
9658,10,False,False,0->0,,,,,16,1827,"520,232,771,856,74,15,196,577,388,187"
9658,20,False,False,0->0,,,,,16,4358,"900,152,412,886,482,797,11,451,369,976,252,626,598,850,860,789,772,720,666,190"
877,0,False,False,0->0,,,,,16,16,
877,5,False,False,0->0,,,,,16,1467,"876,473,305,845,692"
877,10,False,False,0->0,,,,,16,1220,"135,601,141,621,824,821,131,56,935,818"
877,20,False,False,0->0,,,,,16,3221,"122,874,381,404,613,487,1000,538,324,97,557,269,573,140,212,483,905,329,16,683"
2658,0,False,False,0->0,,,,,16,16,
2658,5,False,False,0->0,,,,,16,764,"597,770,31,607,754"
2658,10,False,False,0->0,,,,,16,811,"541,750,207,80,865,206,895,404,220,439"
2658,20,False,False,0->0,,,,,16,2890,"388,222,142,556,182,558,22,517,897,565,883,358,209,477,40,979,893,168,782,270"
6094,0,False,False,0->0,,,,,16,16,
6094,5,False,False,0->0,,,,,16,927,"299,22,363,393,105"
6094,10,False,False,0->0,,,,,16,1294,"302,344,77,198,620,182,610,688,534,969"
6094,20,False,False,0->0,,,,,16,2883,"164,826,653,400,613,500,907,526,818,833,60,983,329,167,962,207,182,913,555,316"
5336,0,False,False,0->0,,,,,16,16,
5336,5,False,False,0->0,,,,,16,335,"77,99,854,308,935"
5336,10,False,False,0->0,,,,,16,1364,"401,976,9,243,862,581,487,7,357,119"
5336,20,False,False,0->0,,,,,16,2263,"705,156,583,681,935,73,552,767,67,80,908,283,24,177,373,284,611,322,949,729"
8916,0,False,False,0->0,,,,,16,16,
8916,5,False,False,0->0,,,,,16,642,"555,125,174,452,787"
8916,10,False,False,0->0,,,,,16,2002,"683,523,826,21,785,919,964,116,718,852"
8916,20,False,False,0->0,,,,,16,2893,"795,798,37,933,899,755,20,59,486,541,941,771,381,29,114,455,379,346,724,446"
6892,0,False,False,0->0,,,,,16,16,
6892,5,False,False,0->0,,,,,16,438,"635,518,574,63,580"
6892,10,False,False,0->0,,,,,16,1648,"84,709,400,763,902,265,727,33,204,20"
6892,20,False,False,0->0,,,,,16,2445,"312,390,416,705,759,238,631,743,109,391,535,251,48,849,31,63,806,734,242,155"
1894,0,False,False,0->0,,,,,16,16,
1894,5,False,False,0->0,,,,,16,1159,"140,467,738,410,638"
1894,10,False,False,0->0,,,,,16,1141,"824,806,24,646,503,178,842,384,357,641"
1894,20,False,False,0->0,,,,,16,2961,"877,93,117,186,774,430,378,515,945,411,696,604,578,661,47,704,446,870,95,265"
1092,0,False,False,0->0,,,,,16,16,
