event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,beamspot_z0
3.0,-1,5,591,-270.65024493426614,127.08046630785456,-615.0185170336599,299.0,2.7026105711317445,202.0249609270577,0.01,-46.7992847808223
3.0,-1,6,746,-335.95072212217184,157.41064864103473,-750.9170317809455,371.0,2.7034177885727453,202.0249609270577,0.01,-46.7992847808223
3.0,-1,7,900,-401.2790118617899,187.68099168329636,-887.5724577629551,443.00000000000006,2.704111568836789,202.0249609270577,0.01,-46.7992847808223
3.0,-1,8,1053,-465.76894664737074,217.38281518785865,-1023.3762882744927,514.0,2.704923228585221,202.0249609270577,0.01,-46.7992847808223
4.0,1,1,24,23.5215434646646,23.50105301980944,-41.729696188709426,33.25,0.7849624060150376,21.070010513281368,0.01,33.770303811290574
4.0,1,2,66,35.75313500890159,35.6645950073074,-80.62969618870943,50.5,0.7841584158415842,21.070010513281368,0.01,33.770303811290574
4.0,1,3,161,62.866598879219424,62.28997307239205,-167.02969618870944,88.5,0.7807909604519775,21.070010513281368,0.01,33.770303811290574
4.0,1,4,245,87.29763086958681,85.93819665641911,-243.82969618870945,122.5,0.7775510204081633,21.070010513281368,0.01,33.770303811290574
4.0,1,5,683,216.53473333442224,206.1885284388795,-645.2611045429898,298.99999999999994,0.760927923239508,21.070010513281368,0.01,33.770303811290574
4.0,1,6,861,270.38337480212624,254.0350972417256,-806.3537897124484,371.00000000000006,0.7542341491044791,21.070010513281368,0.01,33.770303811290574
4.0,1,7,1040,324.9379123946607,301.1052192981713,-972.023670456272,443.0,0.7473477658093163,21.070010513281368,0.01,33.770303811290574
4.0,1,8,1216,379.3761649433802,346.79925817806065,-1131.4569457092796,514.0,0.740567288695945,21.070010513281368,0.01,33.770303811290574
4.0,-1,1,24,23.5215434646646,23.50105301980944,-41.729696188709426,33.25,0.7849624060150376,21.070010513281368,0.01,33.770303811290574
4.0,-1,2,66,35.68244199735424,35.73532332448456,-80.62969618870943,50.5,0.7861386138613862,21.070010513281368,0.01,33.770303811290574
4.0,-1,3,161,62.30096483953952,62.85570602628262,-167.02969618870944,88.5,0.7898305084745764,21.070010513281368,0.01,33.770303811290574
4.0,-1,4,245,85.98988318135757,87.24671908132981,-243.82969618870945,122.5,0.7926530612244899,21.070010513281368,0.01,33.770303811290574
4.0,-1,5,683,206.3110379559821,216.41801130572588,-643.6870692269883,299.0,0.8093024779879934,21.070010513281368,0.01,33.770303811290574
4.0,-1,6,861,254.1963988444305,270.2317353948703,-807.3940904372473,371.0,0.8159654440998242,21.070010513281368,0.01,33.770303811290574
4.0,-1,7,1040,301.29752465612205,324.7596059181214,-970.7954101707904,443.0,0.822856576725477,21.070010513281368,0.01,33.770303811290574
4.0,-1,8,1216,347.0226842962374,379.1718035189773,-1131.9522625065774,514.0,0.8296399491526891,21.070010513281368,0.01,33.770303811290574
6.0,1,1,27,16.032070228140064,-29.129627944757296,130.8254122376046,33.25,-1.0676691729323309,5.75853934766141,0.01,42.325412237604624
6.0,1,2,76,24.189235464504875,-44.329796837372704,176.72541223760464,50.49999999999999,-1.0712871287128716,5.75853934766141,0.01,42.325412237604624
6.0,1,3,184,41.47423786769409,-78.18016112348405,277.92541223760463,88.5,-1.0830508474576273,5.75853934766141,0.01,42.325412237604624
6.0,1,4,281,56.18845944183181,-108.85360364064032,368.3254122376046,122.5,-1.0942857142857143,5.75853934766141,0.01,42.325412237604624
6.0,1,5,785,120.8662491042789,-273.48190036538506,839.5872006344941,299.0,-1.1546540898165938,5.75853934766141,0.01,42.325412237604624
6.0,1,6,991,141.4008386111106,-342.996797128012,1033.1744668895162,371.0,-1.179773393973861,5.75853934766141,0.01,42.325412237604624
6.0,1,7,1198,158.41515847048473,-413.70718819809167,1225.6389394552193,443.00000000000006,-1.205103607306964,5.75853934766141,0.01,42.325412237604624
6.0,1,8,1402,171.8050834398015,-484.4368001135368,1416.8968963579616,514.0,-1.2299857738296915,5.75853934766141,0.01,42.325412237604624
6.0,-1,1,27,16.119605493321814,-29.081279523770423,130.8254122376046,33.25,-1.0646616541353382,5.75853934766141,0.01,42.325412237604624
6.0,-1,2,76,24.626951552194665,-44.088130571003546,176.72541223760464,50.50000000000001,-1.0613861386138612,5.75853934766141,0.01,42.325412237604624
6.0,-1,3,184,44.05672156180937,-76.75451312610355,277.92541223760463,88.5,-1.0497175141242938,5.75853934766141,0.01,42.325412237604624
6.0,-1,4,281,62.184379631650906,-105.54313303018212,368.3254122376046,122.5,-1.0383673469387755,5.75853934766141,0.01,42.325412237604624
6.0,-1,5,785,167.0571149841691,-247.97766095591373,841.2429408349185,299.0,-0.977955361553528,5.75853934766141,0.01,42.325412237604624
6.0,-1,6,991,214.9178354095046,-302.4091996333662,1033.5653754388686,371.00000000000006,-0.9529348234776523,5.75853934766141,0.01,42.325412237604624
6.0,-1,7,1198,265.62364068793374,-354.5322009461023,1225.6212914314094,443.0,-0.9277927530499368,5.75853934766141,0.01,42.325412237604624
6.0,-1,8,1402,318.42331854421525,-403.488029819088,1418.3180125662996,514.0,-0.9026899397125808,5.75853934766141,0.01,42.325412237604624
