event,px,py,pz,E,pT,eta,phi
65,26.11109522,-25.889903755,-6.9693719087,37.425239543,36.77059164646484,-0.18841971271656974,-0.7811445887477271
66,3.5300171603,8.7814276639,47.355956314,48.292453772,9.464380221035116,2.313143772168793,1.1885784482589972
67,246.37948941,-195.84667211,364.99105103,481.95149041,314.7360350809773,0.9898985509693519,-0.6716224853234964
68,122.80775611,294.76236102,282.85692785,426.58485214,319.32208572984433,0.7982781688770947,1.1760338089809912
69,-41.958947162,-5.8813841984,85.627058405,95.536051092,42.369138851677135,1.4529775429561065,-3.002330017263643
70,21.184551426,-8.534599018,6.5937131528,23.771866831,22.839102423669917,0.28483564401529415,-0.38297720229089965
71,17.725541886,20.421817167,84.298966,88.530001244,27.041550465066095,1.854927887618179,0.855961337317684
72,0.36576835048,-1.6589373836,9.1181822527,9.2750799092,1.698781836763766,2.3820729831037974,-1.3537848725315609
73,3.7704746961,10.292275134,-20.733133055,23.452296543,10.961177257388236,-1.3940353978889986,1.2196392914370222
74,4.7900191007,-6.8889503919,16.736964213,18.722390114,8.390585229120195,1.4412768207526174,-0.9632187886089391
75,-10.956871988,-24.16557471,61.523130652,67.000922755,26.533526807154956,1.5777069769838588,-1.9964809745212229
